item_id,knowledge_code
1,[1]
2,[1]
3,[2]
4,[2]
5,[3]
6,[4]
7,[2]
8,[7]
9,"[6, 7]"
10,[5]
11,"[5, 6]"
12,"[6, 7]"
13,[2]
14,"[5, 8]"
15,"[5, 8]"
16,"[6, 8]"
17,"[5, 7]"
18,"[9, 2]"
19,"[7, 9, 2]"
20,"[7, 9, 2]"
21,"[6, 3]"
22,"[4, 7]"
23,[6]
24,"[5, 7]"
25,"[5, 6, 7]"
26,"[6, 7]"
27,"[2, 3]"
28,"[5, 6, 3]"
29,"[7, 2]"
30,"[8, 2]"
31,"[8, 2]"
32,"[8, 2]"
33,"[8, 2]"
34,"[8, 2]"
35,[10]
36,[11]
37,[12]
38,"[9, 10]"
39,"[12, 13]"
40,"[9, 10]"
41,[14]
42,[15]
43,[14]
44,"[15, 16]"
45,"[14, 22]"
46,"[14, 22]"
47,"[14, 22]"
48,"[14, 22]"
49,"[14, 22]"
50,"[17, 18]"
51,[19]
52,[20]
53,"[20, 21]"
54,"[19, 18]"
55,"[17, 18]"
56,[24]
57,[23]
58,[25]
59,[25]
60,[26]
61,"[28, 23]"
62,[24]
63,[24]
64,"[19, 16]"
65,"[29, 16]"
66,"[19, 15]"
67,[24]
68,[24]
69,[24]
70,[30]
71,[24]
72,"[32, 24, 33]"
73,"[32, 31, 24]"
74,"[31, 24, 34]"
75,"[5, 24]"
76,"[35, 24]"
77,[24]
78,"[36, 24]"
79,"[37, 24]"
80,"[38, 24]"
81,[24]
82,"[39, 24]"
83,"[39, 24]"
84,"[27, 24]"
85,"[27, 39, 24]"
86,"[31, 24]"
87,"[44, 29, 40]"
88,"[42, 45, 40, 41]"
89,"[42, 40, 41]"
90,[42]
91,[12]
92,[12]
93,[45]
94,[46]
95,"[47, 48]"
96,"[49, 51]"
97,"[50, 53]"
98,"[43, 50]"
99,"[49, 52]"
100,"[50, 53]"
101,"[43, 50]"
102,"[12, 42, 41]"
103,[46]
104,"[42, 40, 41]"
105,"[54, 55]"
106,"[54, 56]"
107,"[54, 13, 14]"
108,"[54, 57]"
109,"[54, 56]"
110,"[54, 13, 14]"
111,"[54, 57]"
112,"[54, 58]"
113,"[54, 57]"
114,"[54, 57]"
115,"[54, 58]"
116,"[54, 58]"
117,"[54, 59]"
118,"[54, 59]"
119,"[54, 13, 22]"
120,"[54, 13, 22]"
121,"[54, 13, 22]"
122,"[54, 13, 22]"
123,"[54, 60]"
124,"[54, 13, 22]"
125,"[54, 13, 22]"
126,"[62, 63, 61]"
127,"[62, 63, 61]"
128,"[62, 63, 61]"
129,[64]
130,"[64, 65]"
131,"[64, 65]"
132,"[64, 65]"
133,"[64, 65]"
134,"[54, 64, 65]"
135,"[64, 61]"
136,"[65, 61]"
137,"[64, 65, 61]"
138,"[63, 65]"
139,"[62, 63, 65]"
140,"[66, 67]"
141,"[66, 68]"
142,"[66, 67]"
143,"[5, 66, 67, 68]"
144,"[5, 66, 67, 68]"
145,"[7, 66, 67, 68]"
146,"[7, 66, 67, 68]"
147,[2]
148,"[66, 67, 2]"
149,"[28, 66]"
150,"[28, 66]"
151,"[28, 66]"
152,"[28, 66, 68]"
153,"[28, 66]"
154,"[66, 67, 2, 69]"
155,"[28, 66, 69]"
156,"[28, 66, 67, 69]"
157,"[58, 66]"
158,"[58, 66]"
159,"[58, 66]"
160,"[58, 66]"
161,"[58, 66]"
162,"[28, 67, 68]"
163,"[28, 67, 68]"
164,"[28, 67]"
165,"[28, 67]"
166,[66]
167,"[6, 66]"
168,"[6, 66]"
169,"[5, 66]"
170,"[5, 66]"
171,[66]
172,[66]
173,"[71, 72, 73]"
174,[70]
175,"[72, 73]"
176,"[71, 74]"
177,[75]
178,[76]
179,[77]
180,[72]
181,[72]
182,[74]
183,[75]
184,[78]
185,[79]
186,"[73, 76]"
187,"[73, 76]"
188,[70]
189,[74]
190,[80]
191,[70]
192,[79]
193,"[82, 83, 84]"
194,[81]
195,[83]
196,[85]
197,[81]
198,[86]
199,[85]
200,[85]
201,[87]
202,"[88, 85]"
203,"[89, 85]"
204,"[90, 85]"
205,"[83, 93]"
206,"[81, 83, 92]"
207,"[91, 83, 92, 93]"
208,[81]
209,[86]
210,[91]
211,[87]
212,[81]
